hour_close_utc,seconds_in_entry_window,geometry_seconds_width_100_300,geometry_seconds_midpoint_ok,geometry_seconds_full_guardrails,had_any_full_guardrails,best_entry_cost_cents,best_entry_width_usd,best_entry_direction,best_entry_spot,chunk
2026-04-03T04:00:00Z,901,587,86,72,True,47.0,300.0,kalshi_low__polymarket_high,66666.65,chunk_085_168
2026-04-03T05:00:00Z,901,0,0,0,False,,,,,chunk_085_168
2026-04-03T06:00:00Z,901,0,0,0,False,,,,,chunk_085_168
2026-04-03T07:00:00Z,901,512,65,60,True,41.0,300.0,polymarket_low__kalshi_high,66570.35,chunk_085_168
2026-04-03T08:00:00Z,901,13,0,0,False,,,,,chunk_085_168
2026-04-03T09:00:00Z,901,439,217,161,True,40.0,300.0,kalshi_low__polymarket_high,67254.87,chunk_085_168
2026-04-03T10:00:00Z,901,381,0,0,False,,,,,chunk_085_168
2026-04-03T11:00:00Z,901,0,0,0,False,,,,,chunk_085_168
2026-04-03T12:00:00Z,901,10,0,0,False,,,,,chunk_085_168
2026-04-03T13:00:00Z,901,0,0,0,False,,,,,chunk_085_168
2026-04-03T14:00:00Z,901,646,40,0,False,,,,,chunk_085_168
2026-04-03T15:00:00Z,901,89,0,0,False,,,,,chunk_085_168
2026-04-03T16:00:00Z,901,875,14,0,False,,,,,chunk_085_168
2026-04-03T17:00:00Z,901,360,0,0,False,,,,,chunk_085_168
2026-04-03T18:00:00Z,901,0,0,0,False,,,,,chunk_085_168
2026-04-03T19:00:00Z,901,0,0,0,False,,,,,chunk_085_168
2026-04-03T20:00:00Z,901,0,0,0,False,,,,,chunk_085_168
2026-04-03T21:00:00Z,901,0,0,0,False,,,,,chunk_085_168
2026-04-03T22:00:00Z,901,0,0,0,False,,,,,chunk_085_168
2026-04-03T23:00:00Z,901,461,0,0,False,,,,,chunk_085_168
2026-04-04T00:00:00Z,901,545,0,0,False,,,,,chunk_085_168
2026-04-04T01:00:00Z,901,606,0,0,False,,,,,chunk_085_168
2026-04-04T02:00:00Z,901,436,0,0,False,,,,,chunk_085_168
2026-04-04T03:00:00Z,901,0,0,0,False,,,,,chunk_085_168
2026-04-04T04:00:00Z,901,0,0,0,False,,,,,chunk_085_168
2026-04-04T05:00:00Z,901,0,0,0,False,,,,,chunk_085_168
2026-04-04T06:00:00Z,901,0,0,0,False,,,,,chunk_085_168
2026-04-04T07:00:00Z,901,790,0,0,False,,,,,chunk_085_168
2026-04-04T08:00:00Z,901,0,0,0,False,,,,,chunk_085_168
2026-04-04T09:00:00Z,901,0,0,0,False,,,,,chunk_085_168
2026-04-04T10:00:00Z,901,0,0,0,False,,,,,chunk_085_168
2026-04-04T11:00:00Z,901,0,0,0,False,,,,,chunk_085_168
2026-04-04T12:00:00Z,901,0,0,0,False,,,,,chunk_085_168
2026-04-04T13:00:00Z,901,0,0,0,False,,,,,chunk_085_168
2026-04-04T14:00:00Z,901,0,0,0,False,,,,,chunk_085_168
2026-04-04T15:00:00Z,901,0,0,0,False,,,,,chunk_085_168
2026-04-04T16:00:00Z,901,639,389,0,False,,,,,chunk_085_168
2026-04-04T17:00:00Z,901,0,0,0,False,,,,,chunk_085_168
2026-04-04T18:00:00Z,901,0,0,0,False,,,,,chunk_085_168
2026-04-04T19:00:00Z,901,0,0,0,False,,,,,chunk_085_168
2026-04-04T20:00:00Z,901,0,0,0,False,,,,,chunk_085_168
2026-04-04T21:00:00Z,901,0,0,0,False,,,,,chunk_085_168
2026-04-04T22:00:00Z,901,0,0,0,False,,,,,chunk_085_168
2026-04-04T23:00:00Z,901,663,0,0,False,,,,,chunk_085_168
2026-04-05T00:00:00Z,901,0,0,0,False,,,,,chunk_169_252
2026-04-05T01:00:00Z,901,94,0,0,False,,,,,chunk_169_252
2026-04-05T02:00:00Z,901,0,0,0,False,,,,,chunk_169_252
2026-04-05T03:00:00Z,901,0,0,0,False,,,,,chunk_169_252
2026-04-05T04:00:00Z,901,0,0,0,False,,,,,chunk_169_252
2026-04-05T05:00:00Z,901,215,0,0,False,,,,,chunk_169_252
2026-04-05T06:00:00Z,901,0,0,0,False,,,,,chunk_169_252
2026-04-05T07:00:00Z,901,564,220,0,False,,,,,chunk_169_252
2026-04-05T08:00:00Z,901,18,0,0,False,,,,,chunk_169_252
2026-04-05T09:00:00Z,901,0,0,0,False,,,,,chunk_169_252
2026-04-05T10:00:00Z,901,742,0,0,False,,,,,chunk_169_252
2026-04-05T11:00:00Z,901,0,0,0,False,,,,,chunk_169_252
2026-04-05T12:00:00Z,901,628,0,0,False,,,,,chunk_169_252
2026-04-05T13:00:00Z,901,0,0,0,False,,,,,chunk_169_252
2026-04-05T14:00:00Z,901,0,0,0,False,,,,,chunk_169_252
2026-04-05T15:00:00Z,901,604,0,0,False,,,,,chunk_169_252
2026-04-05T16:00:00Z,901,251,0,0,False,,,,,chunk_169_252
